genre,popularity, acousticness , danceability ,duration_ms, energy , liveness , loudness , speechiness , tempo , valence 
Dance,99,"  0,04 ","  0,73 ",190440,"  0,55 ","  0,11 ","  (5,29)","  0,09 ","  170,00 ","  0,34 "
Dance,83,"  0,11 ","  0,78 ",208787,"  0,61 ","  0,13 ","  (4,59)","  0,05 ","  100,07 ","  0,80 "
Dance,87,"  0,04 ","  0,74 ",222653,"  0,64 ","  0,35 ","  (4,55)","  0,04 ","  105,01 ","  0,57 "
Dance,78,"  0,02 ","  0,59 ",220573,"  0,70 ","  0,06 ","  (5,33)","  0,04 ","  104,96 ","  0,25 "
Dance,72,"  0,42 ","  0,73 ",200773,"  0,65 ","  0,09 ","  (4,39)","  0,05 ","  103,98 ","  0,46 "
Dance,73,"  0,01 ","  0,62 ",173082,"  0,87 ","  0,20 ","  (4,92)","  0,04 ","  98,03 ","  0,58 "
Dance,71,"  0,06 ","  0,80 ",190347,"  0,70 ","  0,10 ","  (5,22)","  0,11 ","  120,00 ","  0,80 "
Dance,68,"  0,02 ","  0,58 ",202439,"  0,68 ","  0,08 ","  (4,96)","  0,04 ","  129,97 ","  0,04 "
Dance,72,"  0,17 ","  0,66 ",263040,"  0,82 ","  0,06 ","  (6,61)","  0,03 ","  111,35 ","  0,68 "
Dance,64,"  0,07 ","  0,71 ",256040,"  0,91 ","  0,50 ","  (5,77)","  0,04 ","  98,60 ","  0,94 "
Dance,65,"  0,61 ","  0,51 ",213253,"  0,60 ","  0,09 ","  (4,96)","  0,12 ","  70,19 ","  0,35 "
Dance,68,"  0,47 ","  0,41 ",233467,"  0,62 ","  0,09 ","  (8,75)","  0,15 ","  129,81 ","  0,26 "
Dance,61,"  0,00 ","  0,38 ",272987,"  0,61 ","  0,25 ","  (7,01)","  0,13 ","  81,82 ","  0,24 "
Dance,61,"  0,10 ","  0,84 ",227840,"  0,52 ","  0,23 ","  (4,07)","  0,08 ","  129,00 ","  0,77 "
Dance,64,"  0,53 ","  0,55 ",208254,"  0,62 ","  0,10 ","  (7,10)","  0,15 ","  133,08 ","  0,72 "
Dance,70,"  0,00 ","  0,62 ",457133,"  0,70 ","  0,16 ","  (9,41)","  0,05 ","  115,04 ","  0,71 "
Dance,61,"  0,01 ","  0,68 ",238733,"  0,94 ","  0,06 ","  (6,66)","  0,07 ","  104,83 ","  0,64 "
Dance,61,"  0,05 ","  0,73 ",250667,"  0,66 ","  0,07 ","  (3,39)","  0,23 ","  140,04 ","  0,55 "
Dance,61,"  0,07 ","  0,56 ",378600,"  0,43 ","  0,14 ","  (11,30)","  0,14 ","  103,01 ","  0,10 "
Dance,68,"  0,02 ","  0,78 ",205360,"  0,69 ","  0,03 ","  (2,53)","  0,03 ","  103,00 ","  0,64 "
Dance,71,"  0,01 ","  0,47 ",340200,"  0,65 ","  0,14 ","  (10,17)","  0,03 ","  140,12 ","  0,40 "
Dance,71,"  0,73 ","  0,57 ",212933,"  0,52 ","  0,14 ","  (5,67)","  0,03 ","  139,70 ","  0,24 "
Dance,58,"  0,05 ","  0,77 ",284000,"  0,81 ","  0,21 ","  (5,51)","  0,11 ","  112,00 ","  0,58 "
Dance,59,"  0,06 ","  0,45 ",220373,"  0,59 ","  0,17 ","  (7,97)","  0,20 ","  171,85 ","  0,33 "
Dance,58,"  0,06 ","  0,57 ",206320,"  0,90 ","  0,19 ","  (2,18)","  0,21 ","  127,95 ","  0,48 "
Dance,65,"  0,00 ","  0,65 ",203769,"  0,77 ","  0,10 ","  (3,83)","  0,06 ","  117,10 ","  0,41 "
Dance,60,"  0,04 ","  0,61 ",164587,"  0,69 ","  0,19 ","  (4,93)","  0,12 ","  175,00 ","  0,25 "
Dance,55,"  0,03 ","  0,70 ",268413,"  0,72 ","  0,51 ","  (7,08)","  0,21 ","  160,14 ","  0,82 "
Dance,56,"  0,31 ","  0,65 ",216493,"  0,45 ","  0,12 ","  (7,18)","  0,04 ","  144,02 ","  0,18 "
Dance,60,"  0,05 ","  0,66 ",241333,"  0,76 ","  0,08 ","  (6,42)","  0,04 ","  122,95 ","  0,56 "
Dance,57,"  0,54 ","  0,70 ",181971,"  0,49 ","  0,26 ","  (10,39)","  0,07 ","  94,99 ","  0,08 "
Dance,58,"  0,52 ","  0,85 ",186773,"  0,65 ","  0,08 ","  (7,89)","  0,03 ","  120,04 ","  0,89 "
Dance,62,"  0,00 ","  0,55 ",219987,"  0,89 ","  0,35 ","  (2,63)","  0,05 ","  125,08 ","  0,79 "
Dance,58,"  0,30 ","  0,59 ",268813,"  0,61 ","  0,14 ","  (7,93)","  0,33 ","  72,85 ","  0,43 "
Dance,59,"  0,02 ","  0,69 ",234960,"  0,79 ","  0,10 ","  (5,13)","  0,38 ","  117,06 ","  0,28 "
Dance,55,"  0,00 ","  0,23 ",158413,"  0,80 ","  0,06 ","  (5,54)","  0,11 ","  209,77 ","  0,56 "
Dance,66,"  0,05 ","  0,70 ",260067,"  0,71 ","  0,29 ","  (6,17)","  0,08 ","  98,68 ","  0,61 "
Dance,53,"  0,25 ","  0,69 ",258173,"  0,63 ","  0,17 ","  (8,16)","  0,20 ","  150,84 ","  0,24 "
Dance,53,"  0,01 ","  0,81 ",201183,"  0,61 ","  0,07 ","  (7,16)","  0,11 ","  101,99 ","  0,76 "
Dance,59,"  0,01 ","  0,68 ",220453,"  0,91 ","  0,14 ","  (4,13)","  0,03 ","  104,78 ","  0,90 "
Dance,51,"  0,01 ","  0,63 ",180400,"  0,52 ","  0,10 ","  (5,94)","  0,04 ","  84,87 ","  0,56 "
Dance,54,"  0,57 ","  0,60 ",171267,"  0,49 ","  0,11 ","  (7,40)","  0,20 ","  174,06 ","  0,47 "
Dance,65,"  0,11 ","  0,77 ",206040,"  0,92 ","  0,37 ","  (6,07)","  0,04 ","  116,65 ","  0,86 "
Dance,53,"  0,00 ","  0,72 ",197442,"  0,93 ","  0,55 ","  (3,21)","  0,20 ","  111,96 ","  0,37 "
